book_name,book_price
Call the Nurse: True ...,£29.14
Burning,£28.81
Bossypants,£49.46
"Bitch Planet, Vol. 1: ...",£37.92
Avatar: The Last Airbender: ...,£28.09
Algorithms to Live By: ...,£30.81
A World of Flavor: ...,£42.95
"A Piece of Sky, ...",£56.76
A Murder in Time,£16.64
A Flight of Arrows ...,£55.53
A Fierce and Subtle ...,£28.13
A Court of Thorns ...,£52.37
(Un)Qualified: How God Uses ...,£54.00
You Are What You ...,£21.87
William Shakespeare's Star Wars: ...,£43.30
Tuesday Nights in 1980,£21.04
Tracing Numbers on a ...,£41.60
Throne of Glass (Throne ...,£35.07
Thomas Jefferson and the ...,£59.64
Thirteen Reasons Why,£52.72
The White Cat and ...,£58.08
The Wedding Dress,£24.12
The Vacationers,£42.15
The Third Wave: An ...,£12.61
The Stranger,£17.44
The Shadow Hero (The ...,£33.14
The Secret (The Secret ...,£27.37
The Regional Office Is ...,£51.36
The Psychopath Test: A ...,£36.00
The Project,£10.65
The Power of Now: ...,£43.54
The Omnivore's Dilemma: A ...,£38.21
The Nerdy Nummies Cookbook: ...,£37.34
The Murder of Roger ...,£44.10
The Mistake (Off-Campus #2),£43.29
The Matchmaker's Playbook (Wingmen ...,£55.85
The Love and Lemons ...,£37.60
The Long Shadow of ...,£10.97
The Kite Runner,£41.82
The House by the ...,£36.95
The Glittering Court (The ...,£44.28
The Girl on the ...,£55.02
The Genius of Birds,£17.24
The Emerald Mystery,£23.15
The Cookies & Cups ...,£41.25
The Bridge to Consciousness: ...,£32.00
The Artist's Way: A ...,£38.49
The Art of War,£33.34
The Argonauts,£10.93
The 10% Entrepreneur: Live ...,£27.55
Suddenly in Love (Lake ...,£55.99
Something More Than This,£16.24
Soft Apocalypse,£26.12
So You've Been Publicly ...,£12.23
Shoe Dog: A Memoir ...,£23.99
"Shobu Samurai, Project Aryoku ...",£29.06
Secrets and Lace (Fatal ...,£20.27
Scarlett Epstein Hates It ...,£43.55
Romero and Juliet: A ...,£36.94
Redeeming Love,£20.47
Poses for Artists Volume ...,£41.06
Poems That Make Grown ...,£14.19
"Nightingale, Sing",£38.28
Night Sky with Exit ...,£41.05
Mrs. Houdini,£30.25
Modern Romance,£28.26
Miss Peregrineâs Home for ...,£10.76
Louisa: The Extraordinary Life ...,£16.85
Little Red,£13.47
Library of Souls (Miss ...,£48.56
Large Print Heart of ...,£19.15
I Had a Nice ...,£57.36
Hollow City (Miss Peregrineâs ...,£42.98
Grumbles,£22.16
Full Moon over Noahâs ...,£49.43
Frostbite (Vampire Academy #2),£29.99
Follow You Home,£21.36
First Steps for New ...,£29.00
Finders Keepers (Bill Hodges ...,£53.53
"Fables, Vol. 1: Legends ...",£41.62
Eureka Trivia 6.0,£54.59
Drive: The Surprising Truth ...,£34.95
Done Rubbed Out (Reightman ...,£37.72
Doing It Over (Most ...,£35.61
Deliciously Ella Every Day: ...,£42.16
Dark Notes,£19.19
Daring Greatly: How the ...,£19.43
Close to You,£49.46
Chasing Heaven: What Dying ...,£37.80
Big Magic: Creative Living ...,£30.80
Becoming Wise: An Inquiry ...,£27.43
Beauty Restored (Riley Family ...,£11.11
Batman: The Long Halloween ...,£36.50
Batman: The Dark Knight ...,£15.38
Ayumi's Violin,£15.48
Anonymous,£46.82
Amy Meets the Saints ...,£18.46
Amid the Chaos,£36.58
Amatus,£50.54
Agnostic: A Spirited Manifesto,£12.51
Zealot: The Life and ...,£24.70
You (You #1),£43.61
"Wonder Woman: Earth One, ...",£37.34
Wild Swans,£14.36
Why the Right Went ...,£52.65
Whole Lotta Creativity Going ...,£38.20
What's It Like in ...,£19.60
"We Are Robin, Vol. ...",£53.90
Walt Disney's Alice in ...,£12.96
V for Vendetta (V ...,£37.10
Until Friday Night (The ...,£46.31
Unbroken: A World War ...,£45.95
Twenty Yawns,£22.08
Through the Woods,£25.38
This Is Where It ...,£27.12
The Year of Magical ...,£43.04
The Wright Brothers,£56.80
The White Queen (The ...,£25.91
The Wedding Pact (The ...,£32.61
The Time Keeper,£27.88
The Testament of Mary,£52.67
The Star-Touched Queen,£46.02
The Songs of the ...,£44.48
The Song of Achilles,£37.40
The Rosie Project (Don ...,£54.04
The Power of Habit: ...,£16.88
The Marriage of Opposites,£28.08
The Lucifer Effect: Understanding ...,£10.40
The Long Haul (Diary ...,£44.07
The Loney,£23.40
The Literature Book (Big ...,£17.43
The Last Mile (Amos ...,£54.21
The Immortal Life of ...,£40.67
The Hidden Oracle (The ...,£52.26
The Help Yourself Cookbook ...,£28.77
The Guilty (Will Robie ...,£13.82
The First Hostage (J.B. ...,£25.85
The Dovekeepers,£48.78
The Darkest Lie,£35.35
The Bane Chronicles (The ...,£44.73
The Bad-Ass Librarians of ...,£15.77
The 14th Colony (Cotton ...,£39.24
That Darkness (Gardiner and ...,£13.92
Tastes Like Fear (DI ...,£10.69
Take Me with You,£45.21
Swell: A Year of ...,£45.58
Superman Vol. 1: Before ...,£11.89
Still Life with Bread ...,£26.41
Steve Jobs,£39.50
Sorting the Beef from ...,£44.74
Someone Like You (The ...,£52.79
"So Cute It Hurts!!, ...",£35.43
Shtum,£55.84
See America: A Celebration ...,£48.87
salt.,£46.78
Robin War,£47.82
"Red Hood/Arsenal, Vol. 1: ...",£25.48
Rain Fish,£23.57
Quarter Life Poetry: Poems ...,£50.89
Pet Sematary,£10.56
"Overload: How to Unplug, ...",£52.15
Once Was a Time,£18.28
Old School (Diary of ...,£11.83
No Dream Is Too ...,£21.95
"Naruto (3-in-1 Edition), Vol. ...",£38.39
My Name Is Lucy ...,£41.56
My Mrs. Brown,£24.48
My Kind of Crazy,£40.36
Mr. Mercedes (Bill Hodges ...,£28.90
More Than Music (Chasing ...,£37.61
Made to Stick: Why ...,£38.85
Luis Paints the World,£53.95
Luckiest Girl Alive,£49.83
Lowriders to the Center ...,£51.51
Love Is a Mix ...,£18.03
Looking for Lovely: Collecting ...,£29.14
Living Leadership by Insight: ...,£46.91
Let It Out: A ...,£26.79
Lady Midnight (The Dark ...,£16.28
"It's All Easy: Healthy, ...",£19.55
Island of Dragons (Unwanteds ...,£29.65
I Know What I'm ...,£25.98
I Am Pilgrim (Pilgrim ...,£10.60
Hyperbole and a Half: ...,£14.75
"Hush, Hush (Hush, Hush ...",£47.02
Hold Your Breath (Search ...,£28.82
Hamilton: The Revolution,£58.79
Greek Mythic History,£10.23
God: The Most Unpleasant ...,£30.03
Glory over Everything: Beyond ...,£45.84
Feathers: Displays of Brilliant ...,£49.05
Far & Away: Places ...,£15.06
Every Last Word,£46.47
Eligible (The Austen Project ...,£27.09
El Deafo,£57.62
Eight Hundred Grapes,£14.39
Eaternity: More than 150 ...,£51.75
"Eat Fat, Get Thin",£54.07
Don't Get Caught,£55.35
Doctor Sleep (The Shining ...,£40.12
Demigods & Magicians: Percy ...,£37.51
Dear Mr. Knightley,£11.21
Daily Fantasy Sports,£36.58
Crazy Love: Overwhelmed by ...,£47.72
Cometh the Hour (The ...,£25.01
Code Name Verity (Code ...,£22.13
Clockwork Angel (The Infernal ...,£44.14
City of Glass (The ...,£56.02
City of Fallen Angels ...,£11.23
City of Bones (The ...,£43.28
City of Ashes (The ...,£47.27
Cell,£20.29
Catching Jordan (Hundred Oaks),£50.83
"Carry On, Warrior: Thoughts ...",£31.85
Carrie,£46.23
Buying In: The Secret ...,£37.80
Brain on Fire: My ...,£49.32
Batman: Europa,£32.01
Barefoot Contessa Back to ...,£28.01
Barefoot Contessa at Home: ...,£50.62
Balloon Animals,£17.03
Art Ops Vol. 1,£48.80
Aristotle and Dante Discover ...,£58.14
Angels Walking (Angels Walking ...,£34.20
Angels & Demons (Robert ...,£51.48
All the Light We ...,£29.87
Adulthood Is a Myth: ...,£10.90
Abstract City,£56.37
A Time of Torment ...,£48.35
A Study in Scarlet ...,£16.73
A Series of Catastrophes ...,£56.48
A People's History of ...,£40.79
A Man Called Ove,£39.72
A Distant Mirror: The ...,£14.58
A Brush of Wings ...,£55.51
1491: New Revelations of ...,£21.80
"The Three Searches, Meaning, ...",£13.33
Searching for Meaning in ...,£38.73
Rook,£37.86
My Kitchen Year: 136 ...,£11.53
13 Hours: The Inside ...,£27.06
Will You Won't You ...,£13.86
Tipping Point for Planet ...,£37.55
The Star-Touched Queen,£32.30
The Silent Sister (Riley ...,£46.29
The Midnight Watch: A ...,£26.20
The Lonely City: Adventures ...,£33.26
The Gray Rhino: How ...,£59.15
The Golden Condom: And ...,£39.43
The Epidemic (The Program ...,£14.44
The Dinner Party,£56.54
The Diary of a ...,£59.90
The Children,£11.88
Stars Above (The Lunar ...,£48.05
Snatched: How A Drug ...,£21.21
Raspberry Pi Electronics Projects ...,£49.67
Quench Your Own Thirst: ...,£43.14
Psycho: Sanitarium (Psycho #1.5),£36.97
Poisonous (Max Revere Novels ...,£26.80
One with You (Crossfire ...,£15.71
No Love Allowed (Dodge ...,£54.65
Murder at the 42nd ...,£54.36
Most Wanted,£35.28
"Love, Lies and Spies",£20.55
How to Speak Golf: ...,£58.32
Hide Away (Eve Duncan ...,£11.84
Furiously Happy: A Funny ...,£41.46
Everyday Italian: 125 Simple ...,£20.10
Equal Is Unfair: America's ...,£56.86
Eleanor & Park,£56.51
Dirty (Dive Bar #1),£40.83
Can You Keep a ...,£48.64
Boar Island (Anna Pigeon ...,£59.48
A Paris Apartment,£39.01
A la Mode: 120 ...,£38.77
Troublemaker: Surviving Hollywood and ...,£48.39
The Widow,£27.26
The Sleep Revolution: Transforming ...,£11.68
The Improbability of Love,£59.45
The Art of Startup ...,£21.00
Take Me Home Tonight ...,£53.98
Sleeping Giants (Themis Files ...,£48.74
Setting the World on ...,£21.15
Playing with Fire,£13.71
Off the Hook (Fishing ...,£47.67
Mothering Sunday,£13.34
"Mother, Can You Not?",£16.89
M Train,£27.18
Lilac Girls,£17.28
Lies and Other Acts ...,£45.14
Lab Girl,£40.85
Keep Me Posted,£20.46
It Didn't Start with ...,£56.27
Grey (Fifty Shades #4),£48.49
"Exit, Pursued by a ...",£51.34
Daredevils,£16.34
Cravings: Recipes for What ...,£20.50
Born for This: How ...,£21.59
Arena,£21.36
Adultery,£20.88
A Mother's Reckoning: Living ...,£19.53
A Gentleman's Position (Society ...,£14.75
11/22/63,£48.48
10% Happier: How I ...,£24.57
10-Day Green Smoothie Cleanse: ...,£49.71
Without Shame,£48.27
Watchmen,£58.05
Unlimited Intuition Now,£58.87
Underlying Notes,£11.82
The Shack,£28.03
The New Brand You: ...,£44.05
The Moosewood Cookbook: Recipes ...,£12.34
The Flowers Lied,£16.68
The Fabric of the ...,£55.91
The Book of Mormon,£24.57
The Art and Science ...,£52.98
The Alien Club,£54.40
Suzie Snowflake: One beautiful ...,£54.81
Nap-a-Roo,£25.08
NaNo What Now? Finding ...,£10.41
Modern Day Fables,£47.44
If I Gave You ...,£20.91
"Fruits Basket, Vol. 9 ...",£33.95
Dress Your Family in ...,£43.68
Don't Forget Steven,£33.23
Chernobyl 01:23:40: The Incredible ...,£35.92
Art and Fear: Observations ...,£48.63
A Shard of Ice ...,£56.63
A Hero's Curse (The ...,£50.49
23 Degrees South: A ...,£35.79
Zero to One: Notes ...,£34.06
Why Not Me?,£17.76
When Breath Becomes Air,£39.36
Vagabonding: An Uncommon Guide ...,£36.94
The Unlikely Pilgrimage of ...,£43.62
The New Drawing on ...,£43.02
"The Midnight Assassin: Panic, ...",£28.45
The Martian (The Martian ...,£41.39
The High Mountains of ...,£51.15
The Grownup,£35.88
The E-Myth Revisited: Why ...,£36.91
South of Sunshine,£28.93
Smarter Faster Better: The ...,£38.89
Silence in the Dark ...,£58.33
Shadows of the Past ...,£39.67
Roller Girl,£14.10
Rising Strong,£21.82
Proofs of God: Classical ...,£54.21
Please Kill Me: The ...,£31.19
Out of Print: City ...,£53.64
My Life Next Door ...,£36.39
Miller's Valley,£58.54
Man's Search for Meaning,£29.48
Love That Boy: What ...,£25.06
Living Forward: A Proven ...,£12.55
Les Fleurs du Mal,£29.04
Left Behind (Left Behind ...,£40.72
Kill 'Em and Leave: ...,£45.05
Kierkegaard: A Christian Missionary ...,£47.13
John Vassos: Industrial Design ...,£20.22
I'll Give You the ...,£56.48
I Will Find You,£44.21
Hystopia: A Novel,£21.96
Howl and Other Poems,£40.45
History of Beauty,£10.29
Heaven is for Real: ...,£52.86
Future Shock (Future Shock ...,£55.65
Ender's Game (The Ender ...,£43.64
Diary of a Citizen ...,£28.41
Death by Leisure: A ...,£37.51
Brilliant Beacons: A History ...,£11.45
Brazen: The Courage to ...,£19.22
Between the World and ...,£56.91
Being Mortal: Medicine and ...,£55.06
A Murder Over a ...,£13.20
32 Yolks,£53.63
"""Most Blessed of the ...",£44.48
You Are a Badass: ...,£12.08
Wildlife of New York: ...,£22.14
What Happened on Beale ...,£25.37
Unreasonable Hope: Finding Faith ...,£46.33
Under the Tuscan Sun,£37.33
Toddlers Are A**holes: It's ...,£25.55
The Year of Living ...,£34.72
The Whale,£35.96
